Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Iraota timoleon;"Matheran, Hebbal, Panikheti, Near Shatuza Village, Bankura District, Kakkavayal, Dimapur District, Kathayat Bara Village, Coimbatore District, Turahalli RF, Kushiabil, Raibaghini, Kerala, Changlang District, Jayanti, Uttarakhand, Ayyanar Falls, Deban, Phek District, Pelhar Dam, Simlipal NP, Karnataka, Melmudi, Buxa TR, Pithoragarh District, Baksa District, Ratnagiri District, Paschimbanga, Near Satpool, Pithabata River, Tamil Nadu, Chyana Khad, Nagaland, Mayurbhanj District, Raigad District, Sindhudurg District, Tehri Garhwal District, Palamalai Hills, Odisha, Periyanaickenpalayam, Subankhata, Alipurduar District, Devalsari, Radhanagari WLS, Assam, Thane District, Bengaluru Urban District, Marathalli, Namdapha NP, India, Songaon, Kempapura, Maharashtra, Kolhapur District, Amboli, Kozhikode District, Bageshwar District, J.P. Nagar RF, Lulung Check Gate, Munsiyari, Kumbharli Ghat, Chiplun, Dombivli, Vasai, Virudhunagar District, Arunachal Pradesh"
Issoria gemmata;"Thangu, North Sikkim District, India, Sikkim"
Issoria isaea;"Jammu and Kashmir, Kangra District, Churdhar Sanctuary, Shimla District, North Sikkim District, Baramulla, Darjeeling District, Uttarakhand, Dehradun District, Chakrata, Sikkim, Camels Back Rd, Dhanaulti, Pasingdang, Rishop, Pithoragarh District, Paschimbanga, Himachal Pradesh, Baramula district, Upper Dzongu, Tehri Garhwal District, Singalila NP, Nainital District, Mcleodganj, Mussoorie, India, Bhimtal, Govindghat, Bageshwar District, Munsiyari, Chamoli District, Kapkote Village"
Iton semamora;"Mizoram, Aizwal-Reiek Road, Pakke TR, Old Jirang, Aizawl District, Vaipuanpho Camp, Meghalaya, Ri Bhoi District, Tongkolong WLS, Mara Autonomous District, East Kameng District, Lungpuk, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Ixias marianne;"IIT Bombay, Siddheshwar Hills, Alwar District, Girana Pumping Rd, Tiruchchirappalli District, Dombivili, Bankura District, Savkheda, Phaltan, Aurangabad District, Cauvery WLS, Hosahally, Shivaji Udyan, Raibaghini, Bengaluru  Rural District, Gujarat, Kurul, Kerala, Barkachha,  Jalgaon, Kanakpura, Galibore Fishing Camp, Alibag Taluka, Gandhinagar District, Nandivili, Savandurga SF, Karnataka, Solapur, Mandya District, Hyderabad Urban District, Chinnar WLS, Krishnagiri District, Vetal Hill, Paschimbanga, Idukki District, Raigad District, Tamil Nadu, Hesaraghatta Lake, Om Shanthidhama, Sariska NP, Solapur District, Osmania University, Pune District, Nimkhedi Road, Thane District, Rajasthan, Bengaluru Urban District, Serenity Library, Mumbai Suburban District, Mrugavani NP, India, RGSC BHU, Telangana, Chilkur, Rangareddi District, Powai, Gumalapuram Village, Uttar Pradesh, Pune, Maharashtra, Mirzapur District, Satara District, Valley School, Magadi Taluk, Jalgaon District, Jalahalli, Ganganahally, J.P. Nagar RF, Kaas, Srirangapatna Taluka, Jarkabandi SF, Mathur, Samajikvanikarn, Aurangabad"
Ixias pyrene;"Siddheshwar Hills, Chandigarh, Honey Valley, Devarayanadurga, Cauvery WLS, Valsad District, Kerala, Changlang District, Camp Geedee, Indian Institute of Science (IISc) Campus, Bharatpur NP, Aithan, Lunglei District, Ultapani, Kamrup District, Haveri District, Mandya District, Buxa TR, Khadi (Khari), Paschimbanga, Tamil Nadu, Rinchenpong, Rajasthan, Bengaluru Urban District, Hanging Gardens, Malabar Hills, Gumalapuram Village, Andhra Pradesh, Chiplun, East Kameng District, New Delhi, Andaman and Nicobar Islands, Byadgi Taluk, Madikeri, IIT Bombay, New Delhi District, Mysore District, Talakona Forest, Galibore Fishing Camp, Jayanti, South Andaman District, Port Blair, Savandurga SF, Pakke TR, Hyderabad Urban District, Dundigal Village, Idukki District, Daroji Sloth Bear Sanctuary, Hesaraghatta Lake, Upparahal, Assam, India, Telangana, Mizoram, Uttar Pradesh, Valley School, Ganganahally, Hyderabad Central University, Chandigarh District, Bharatpur District, Kumbharli Ghat, Roychak, Alibag, Arunachal Pradesh, Malleshwaram, Bengaluru  Rural District, Lunkai Nullah, South 24 Parganas District, Sanjay Gandhi NP, Ragihalli, Karnataka, Chinnar WLS, Bhitarkanika NP, Lucknow Cantonment, Lalitha Mahal Palace, Ratnagiri District, Kodagu District, Brookshabad, Udvada, Maharashtra Nature Park, Alipurduar District, Rathtala, Kanchan nagar, Namdapha NP, Yeoor, Rangareddi District, Mumbai City District, Maharashtra, Kadaramandalagi, Tinsukia District, J.P. Nagar RF, Kanakeshwar, Kokrajhar District, Garalia, Lunglei, Rangli, Gujarat, Elephant Conservation Reserve, Nepli RF, Ballari District, Alibag Taluka, Deban, Sikkim, Lucknow District, Krishnagiri District, East Sikkim District, Raigad District, Kendrapara District, Odisha, Chittoor District, Digboi, Thane District, Tumkur District, Mumbai Suburban District, Bardhaman District, Agricultural University, Guwahati, Powai, Haus Khas District Park, Magadi Taluk, Near Corbyn's Cove Beach, West Sikkim District, Delhi, Om Shanthidhama"
Jamides alecto;"Udyavar, Honey Valley, Devgad, Coimbatore District, Rajapalayam, Agalahatti, Kerala, Sakleshpur, North Sikkim District, Thenmala, Changlang District, Jayanti, Ayyanar Falls, Deban, Kovai Kutralam, Sikkim, Karnataka, Buxa TR, Udupi District, Kallar-Ponmudi, Paschimbanga, Wayanad WLS, Idukki District, Tamil Nadu, Sindhudurg District, Kodagu District, Thaanipara, East Godavari District, Dakshina Kannada District, Thiruvananthapuram  District, Alipurduar District, Namdapha NP, Siruvani, Periyar TR, India, Maredumilli, Beluvai, Andhra Pradesh, Maharashtra, Mangaladevi, Amboli, Wayanad District, Hassan District, Sulthan Bathery, Rangrang, Mangalore Taluk, Virudhunagar District, Arunachal Pradesh, Kollam District, Sammilan Shetty's Butterfly Park"
Jamides bochus;"Devgad, Campbell Bay, South Garo Hills District, Coimbatore District, Devarayanadurga, National Centre for Biological Sciences (NCBS), Goverment Guest House, Kerala, Chiplun Taluka, Changlang District, Santalabari, Dodda Kammanahalli, Haveri District, Buxa TR, Wildlife Institute Of India, Paschimbanga, Gullatty RF, Tamil Nadu, Coimbatore, Gadchiroli District, Bengaluru Urban District, Hanging Gardens, Malabar Hills, Manipur, Gumalapuram Village, Pune, Great Nicobar Island, Amboli, Chiplun, Andaman and Nicobar Islands, Karambavane, Byadgi Taluk, Matheran, IIT Bombay, Satara, Jayanti, ANET, South Andaman District, Dehradun District, Tripura, Savandurga SF, Vaipuanpho Camp, Nagla Block, Begur Hobli, Yelagiri Hills, Pune District, Assam, Ovalekar Wadi Butterfly Park, India, Bengaluru, Senapati District, Mizoram, North Wandoor, Swamimalai, Ganganahally, Nicobar District, Meghalaya, Kumbharli Ghat, Alibag, Arunachal Pradesh, Aizwal-Reiek Road, Bengaluru  Rural District, Chamrajnagar District, Lunkai Nullah, Kolkata District, Sanjay Gandhi NP, Karnataka, Aizawl District, Ratnagiri District, Maharashtra Nature Park, GKVK, Alipurduar District, Namdapha NP, Yeoor, Mumbai City District, Indiranagar, Maharashtra, Satara District, Kadaramandalagi, Kozhikode District, J.P. Nagar RF, Kanakeshwar, Tamil Nadu Agricultural University, Pashan, Khowai, Uttarakhand, Deban, Kolkata, Sikkim, Senapati, Krishnagiri District, East Sikkim District, Dibrugarh District, Sindhudurg District, Raigad District, Vellore District, Chidiya Tapu, Chennai District, Jopora Gaon, Rorathang, Thane District, Siju WLS, Biligiri Rangaswamy Temple WLS, Taralu, Tumkur District, Mumbai Suburban District, Sinhagad, Vayalata, Ponmudi, Powai, Shodhgram, Magadi Taluk, Lepchakha, Khowai District, Tungareshwar WLS, Chatgaon"
Jamides caeruleus;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Jamides celeno;"MSR City, Devgad, South Garo Hills District, Devarayanadurga, Cauvery WLS, Baratang, Kerala, Kailasagiri, Nuripara, Haveri District, Mandya District, Aarey Colony, Paschimbanga, East Godavari District, Tamil Nadu, Jigani, Gadchiroli District, Pathanamthitta District, Goa, Kanakpura Taluk, Bengaluru Urban District, Hanging Gardens, Pawalgarh Conservation Reserve, Girinagar, Songaon, Malabar Hills, Krishnanagar, Palghar District, Lingambudhi Lake, Andhra Pradesh, Pune, Amboli, Dangs, Kawal Wildlife Sanctuary, Chiplun, Kollam District, Andaman and Nicobar Islands, Byadgi Taluk, Konni, Village Potegaon, Madikeri, IIT Bombay, Balpakram NP, Bankura District, Shendurney WLS, Mysore District, Talakona Forest, Satara, Galibore Fishing Camp, Chavara South, South Andaman District, Karnala Bird Sanctuary, Saalugudda Homestay, Tripura, Nimmakuru Village, Savandurga SF, Nagla Block, Daroji Sloth Bear Sanctuary, Madivala Lake, Hesaraghatta Lake, Vishakhapatnam District, Thiruvananthapuram  District, North and Middle Andaman District, Pune District, Upparahal, Gongrot, India, Maredumilli, Telangana, Kallikad, Panshet, Peppara WLS, Valley School, Kolhapur District, Meghalaya, Prashanti Kutiram, Kumbharli Ghat, Big Banyan Tree, Alibag, Jarkabandi SF, Sudhagad Taluka, Bengaluru  Rural District, Pyramid Valley, Nadia District, Bishnupur, Ramnagar district, Gaganbavda, Ayyanar Falls, Sanjay Gandhi NP, Vithura, Karnataka, Kottavattom, Vadakara, Ratnagiri District, Malvan, Kodagu District, Goregaon, Maharashtra Nature Park, Vivekananda Park, Siddapur, Yeoor, Mumbai City District, East Khasi Hills District, Maharashtra, Satara District, Kadaramandalagi, Kozhikode District, Wayanad District, Hassan District, J.P. Nagar RF, Kanakeshwar, Srirangapatna Taluka, Virudhunagar District, Sonatala, Near Bio Veda Retreat, Pashan, Hosahally, South Goa District, Gujarat, Malibhagom, Ballari District, Nongriat, Uttarakhand, Tansa WLS, Rosemala, Cotigao WLS, Krishna District, Kummannoor, Wayanad WLS, Raigad District, Sindhudurg District, Tamhini, Uttara Kannada District, Unchalli Falls, Chittoor District, Chidiya Tapu, Adilabad District, Nainital District, Dodda Aalada Mara, Puthoor, Pali, Thane District, Siju WLS, Tumkur District, Mumbai Suburban District, Mount Harriet NP, Powai, Shodhgram, Magadi Taluk, Jalahalli, Khowai District, Lalbagh Botanical Gardens, Tungareshwar WLS, Chatgaon, Dang District, Mysore City"
Jamides elpis;"Rajabhatkhawa, 19th Mile, Langka, Balpakram NP, Pakke TR, South Garo Hills District, Alipurduar District, Buxa TR, Meghalaya, Gongrot, East Kameng District, Paschimbanga, Namdapha NP, Arunachal Pradesh, India, Changlang District, Jayanti, Deban"
Jamides pura;"Balpakram NP, South Garo Hills District, Kawkareik, Jayanti, Pakke TR, Kawkareik District, Mawkdok, Buxa TR, Paschimbanga, Khasi Hills, Alipurduar District, Mawlong-Terna Road, Assam, Historic location, Siju WLS, Gongrot, India, Kayin state, East Khasi Hills District, Siam, Cherrapunjee, Meghalaya, East Kameng District, Arunachal Pradesh, Myanmar"
Junonia almana;"Manas NP, Perambra, Devgad, Campbell Bay, South Garo Hills District, Hyderabad, Devarayanadurga, Cauvery WLS, Mayabunder Islands, Kerala, North 24 Parganas District, Kamrup District, Haveri District, Mandya District, Buxa TR, Umaria District, Baksa District, Paschimbanga, Garbhanga Reserve Forest, Silvassa, Susunia Hill, Chhattisgarh, Soraipung RF, Osmania University, Ashoknagar, Mcleodganj, Banobitan, Rajasthan, Bengaluru Urban District, Nakachari, Cooch Behar, Hanging Gardens, Pawalgarh Conservation Reserve, Raipur District, Malabar Hills, Abakash Udhyan, Manipur, Andhra Pradesh, Pune, Great Nicobar Island, Amboli, Jeypore RF, Nabagram, Chiplun, Chandan Nagar, Dombivli, East Kameng District, Kollam District, Andaman and Nicobar Islands, Nagadera Gaon, Bansbari Range, Balpakram NP, Kathayat Bara Village, Bankura District, Agalahatti, Rambagh Gardens, Phura, Kurul, Hoollongapar Gibbon Sanctuary, Kakolu, Amritsar Urban District, Jayanti, Baghmara RF, Nimmakuru Village, Tripura, Savandurga SF, Kanaka Ecological Park (KDA), Pakke TR, Hyderabad Urban District, Cooch Behar District, Sanjeevaiah Park, Pocharam Wildlife Sanctuary, Nagla Block, Dundigal Village, Near Satpool, ABS Academy Campus, Vishakhapatnam District, Pandit Deendayal Petroleum University, Bhandup Pumping Station, Begur Hobli, Subankhata, North and Middle Andaman District, Pune District, Assam, Gongrot, India, Telangana, Punjab, Senapati District, Mizoram, Uttar Pradesh, Kashmir Avenue, ISACON Vatika, Valley School, Jorhat District, Nicobar District, Bageshwar District, Meghalaya, Surat District, Arunachal Pradesh, Kangra District, Bandhavgarh NP, Sarthana, Bengaluru  Rural District, Chamrajnagar District, Chandannagar, Sakleshpur, Kolkata District, Rabindra Sarobar, Hooghly District, Jim Corbett NP, Gulkamale Village, Sanjay Gandhi NP, Karnataka, Dadra & Nagar Haveli, Neendakara, Kammanahalli Village, Bhitarkanika NP, Kaginele Byadgi Taluk, Keesara Gutta, Ratnagiri District, Indira Park, Jaipur District, Maharashtra Nature Park, Mohor Kunjo, Alipurduar District, Agriculture College, Kambalakonda, Durgapur, Yeoor, Rangareddi District, Mumbai City District, Maharashtra, Tinsukia District, Kozhikode District, Wayanad District, Hassan District, J.P. Nagar RF, Chilapata WLS, Srirangapatna Taluka, Pashan, Hosahally, Dadra and Nagar Haveli District, Khowai, Gujarat, Uttarakhand, Gandhinagar District, Alibag Taluka, Kolkata, Karwani, Senapati, Lucknow District, Raipur, Dibrugarh District, Mara Autonomous District, Medak District, Krishna District, Wayanad WLS, Sindhudurg District, Himachal Pradesh, Raigad District, Aanjarle, Kendrapara District, West Bank to Jolly track, Odisha, Jhalana Reserve Forest, Tala, Nainital District, Bhatchala(south), Jopora Gaon, Madhya Pradesh, Thane District, Biligiri Rangaswamy Temple WLS, Tumkur District, Mumbai Suburban District, Bardhaman District, Guwahati, Magadi Taluk, SGPGI Campus, Khowai District, Lalbagh Botanical Gardens, Jokai Reserve Forest, Tungareshwar WLS, Om Shanthidhama"
Junonia atlites;"Perambra, Devgad, South Garo Hills District, Goverment Guest House, Kerala, Shivamogga District, Mandya District, Parambikkulam WLS, Umaria District, Suntale Khola, Paschimbanga, East Godavari District, Mayurbhanj District, Chhattisgarh, Pattanakkad, Belvai, Bengaluru Urban District, Nakachari, Jogendranagar, Hanging Gardens, Raipur District, Malabar Hills, Vaniyambalam, Manipur, Andhra Pradesh, Amboli, Nabagram, Chiplun, Andaman and Nicobar Islands, Madikeri, IIT Bombay, Nagadera Gaon, Hoollongapar Gibbon Sanctuary, Satara, South Andaman District, Baghmara RF, Vendra Agraharam, Tripura, Savandurga SF, Idukki District, Alappuzha District, ABS Academy Campus, Dakshina Kannada District, Mannancherry, West Tripura District, Assam, India, Maredumilli, Telangana, Senapati District, Karle Home Stay, Jorhat District, Meghalaya, Maragodu, Sammilan Shetty's Butterfly Park, Bhopal, Bandhavgarh NP, West Godavari District, Bengaluru  Rural District, Chandannagar, Kolkata District, Hooghly District, Darjeeling District, Near Kolar Village, Pocharam Village, Bhopal District, Sanjay Gandhi NP, Karnataka, Satpool, Ratnagiri District, Kodagu District, Maharashtra Nature Park, Agumbe Rainforest Research Station, Jungle Retreat, Mankavu, Chikkamagaluru District, Periyar TR, Durgapur, Yeoor, Kattemadu village, Mumbai City District, Rangareddi District, Maharashtra, Satara District, Vidyasagar, Kozhikode District, Wayanad District, Hassan District, Mangalore Taluk, Srirangapatna Taluka, Kutta, Hosahally, Baripada, North Orissa University, Kolkata, Wayanad, Karwani, Senapati, Narasimharajapura, Dibrugarh District, Malappuram District, Palakkad District, Wayanad WLS, Sindhudurg District, Virajpet, Odisha, Chidiya Tapu, Tala, Jopora Gaon, Madhya Pradesh, Thane District, Mumbai Suburban District, Bardhaman District, Ponmudi, Powai, Beluvai, Wandoor, Magadi Taluk"
Junonia hierta;"Manas NP, Siddheshwar Hills, Honey Valley, MSR City, Devgad, Hyderabad, Kerala, Kailasagiri, Burdan, Dodda Kammanahalli, Horsley Hills, Kanpur Nagar District, Haveri District, Buxa TR, Baksa District, Dimapur, Paschimbanga, Tamil Nadu, Solapur District, Kanpur, Bengaluru Urban District, Paschim Vihar, Kakkur, Hanging Gardens, Malabar Hills, Andhra Pradesh, Pune, Amboli, Dangs, Kawal Wildlife Sanctuary, Chiplun, New Delhi, Byadgi Taluk, New Delhi District, Bankura District, Dimapur District, Colonelganj, Umamaheswaram Temple, Tripura, Savandurga SF, Hyderabad Urban District, Science Center, Sanjeevaiah Park, Karimganj District, Idukki District, ABS Academy Campus, Vishakhapatnam District, Begur Hobli, Pune District, Assam, Mahbubnagar District, India, Telangana, Uttar Pradesh, K.V. No1, Gotheghar, Jalalnagar Tea Estate, Bengaluru  Rural District, Sanjay Gandhi NP, Karnataka, Chinnar WLS, Kammanahalli Village, Lucknow Cantonment, Lotus Pond, Ratnagiri District, Kodagu District, Golapbag, Alipurduar District, Burdwan Science Centre, Durgapur, Yeoor, Mumbai City District, Maharashtra, Kadaramandalagi, Kozhikode District, J.P. Nagar RF, Pashan, Khowai, Gujarat, Vellakovil, Alibag Taluka, Solapur, Lucknow District, Raipur, Tirupur District, Vetal Hill, Sindhudurg District, Nagaland, Raigad District, Chittoor District, Adilabad District, Thane District, Bardhaman District, Jalahalli, Magadi Taluk, Khowai District, Tungareshwar WLS, Dang District, Delhi"
Junonia iphita;"Manas NP, Honey Valley, Devgad, Coimbatore District, Kerala, Pabung Khola, Changlang District, Shivamogga District, Near Rangpo, Nedumpura, Kamalpur, Candolim Beach, Buxa TR, Chikkaballapur District, Baksa District, Suntale Khola, Paschimbanga, Dibrugarh Town, Dzongu, Tamil Nadu, East Godavari District, Mayurbhanj District, Silvassa, Goa, Bengaluru Urban District, Jogendranagar, Siruvani, Hanging Gardens, Njekkad, Malabar Hills, Thattekad, Manipur, Andhra Pradesh, Thrissur District, Amboli, Chiplun, Salim Ali Bird Sanctuary, IIT Bombay, Gundya, Kathayat Bara Village, Bankura District, Umamaheswaram Temple, Phansad WLS, North Sikkim District, Hoollongapar Gibbon Sanctuary, Jayanti, Dehradun District, Kovai Kutralam, Saalugudda Homestay, Tripura, Nandi Hills, Simlipal NP, Above Mcleodganj, Nagla Block, Alappuzha District, Madivala Lake, Dakshina Kannada District, Mannancherry, Thiruvananthapuram  District, Yelagiri Hills, Pune District, West Tripura District, Assam, Mahbubnagar District, India, Maredumilli, Telangana, Senapati District, Kallikad, Swamimalai, Jorhat District, Kolhapur District, Kadavoor, Bageshwar District, Arunachal Pradesh, Sammilan Shetty's Butterfly Park, Pathanapuram, Kangra District, Chiring Chapori, South Sikkim District, Chamrajnagar District, Lunkai Nullah, Kolkata District, Darjeeling District, Sanjay Gandhi NP, Karnataka, Dadra & Nagar Haveli, Sirsi, Pasingdang, Ratnagiri District, Pithabata River, Kodagu District, Maharashtra Nature Park, Agumbe Rainforest Research Station, Sirumalai Hill, Alipurduar District, Kalej Khola, Namdapha NP, Bhandara District, Yeoor, Mumbai City District, Maharashtra, Kumrek, Kannur  District, Vidyasagar, Wayanad District, Hassan District, J.P. Nagar RF, Dal Lake, Mangalore Taluk, Panhala, Dindigul District, Ring Khola, Lower Mukrung, Sonatala, Near Bio Veda Retreat, Dadra and Nagar Haveli District, Uttarakhand, Kolkata, Chakrata, Sikkim, Kannur, Senapati, Ernakulam District, Dibrugarh District, Malappuram District, East Sikkim District, Wayanad WLS, Raigad District, Sindhudurg District, Upper Dzongu, Himachal Pradesh, Vellore District, Uttara Kannada District, Odisha, Dharamshala, Nagzira Tiger Reserve, Thane District, Biligiri Rangaswamy Temple WLS, Mumbai Suburban District, Gokarna, Sinhagad, North Goa District, Powai, Beluvai, Lulung Check Gate, Khowai District, West Sikkim District"
